Time,total_investment_cost,variable_operating_cost,fixed_operating_cost,startup_cost,thermal_generator_cost,extending_thermal_generator_cost,renewable_generator_cost,extending_renewable_generator_cost,storage_investment_cost,penalty_cost,renewable_capacity,thermal_capacity,transmission_line_cost,coal_capacity,natural_gas_capacity,nuclear_capacity,solar_capacity,wind_capacity,total_capacity,power_flow,solar_energy_generated,wind_energy_generated,nuclear_energy_generated,coal_energy_generated,natural_gas_energy_generated,total_energy_generated,Northeast coal,Northeast natural gas,Northeast nuc,Northeast solar,Northeast wind,West coal,West natural gas,West nuc,West solar,West wind,Coastal coal,Coastal natural gas,Coastal nuc,Coastal solar,Coastal wind,South coal,South natural gas,South nuc,South solar,South wind,Panhandle coal,Panhandle natural gas,Panhandle nuc,Panhandle solar,Panhandle wind
1,4207.309024985775,7497.84015821528,2305.727843283999,99.8761287962502,2076.584599812136,140.7516677060328,958.6674884015333,49.66355024720621,0.0,65.91819233262837,3715.079939999998,78141.55929999996,981.6417188188669,17397.000200000002,55580.559099999955,5164.0,663.1,22114.799599999984,81856.63923999996,"{'Northeast': {'Northeast': 0, 'West': 0.0, 'Coastal': 11.195121853936827, 'South': 0.0, 'Panhandle': 0}, 'West': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 21.254156260560027, 'Panhandle': 8.458300726488232e-17}, 'Coastal': {'Northeast': 0.07142131901815026, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0.550002262961699, 'Coastal': 2.8194335754960777e-17, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 38.62792796615936, 'West': 8.458300726488232e-17, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.1881869815616701,102.89622304828418,45.176651333006454,123.45716903081755,111.95996242875074,384.678192822418,8747.9997,20668.0325,2460.0,0.0,901.1002,650.0,3695.9001,0.0,399.4,10273.697199999995,2504.0,12917.025000000001,2704.0,0.0,2047.4006,5495.0005,17940.601499999957,0.0,263.70000000000005,1768.8000000000002,0.0,359.0,0.0,0.0,7123.801599999989
2,53338.508190693276,8641.293694385147,3969.793175575968,206.47887850609504,52443.75625928741,0.0,742.1292441619705,7.755602112088479,0.0,55.52128846239912,3950.57993999999,96526.3343,144.86708513179656,36637.0002,54725.33410000001,5164.0,663.1,23684.79959999993,100476.91424,"{'Northeast': {'Northeast': 0, 'West': 0, 'Coastal': 5.71486680373214, 'South': 0, 'Panhandle': 2.3901520762592432e-14}, 'West': {'Northeast': 3.983586793765428e-14, 'West': 0, 'Coastal': 0, 'South': 21.327851490471446, 'Panhandle': 3.983586793765428e-14}, 'Coastal': {'Northeast': 5.840710444355108, 'West': 0, 'Coastal': 0, 'South': 3.983586793765428e-14, 'Panhandle': 0}, 'South': {'Northeast': 3.983586793765428e-14, 'West': 0.34326656949311074, 'Coastal': 0, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 47.22035425955698, 'West': 0, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.1881869815616701,111.4236727875908,45.23663999999999,145.92927753945867,86.16867515643348,389.94645246504706,14467.9997,20668.0325,2460.0,0.0,901.1002,1690.0,3695.9001,0.0,399.4,10273.697199999991,8744.0,12061.8,2704.0,0.0,2047.4006,11735.0005,17940.6015,0.0,263.70000000000005,1768.8000000000002,0.0,359.0,0.0,0.0,8693.801599999939
3,3828.1614930186915,8254.357433249514,3989.971288378384,178.33769153407604,3103.2853990242534,0.0,604.6709970102712,14.549914850124367,0.06963247846944114,50.169018447251545,4300.897729742426,111326.3343,105.58554965557322,36637.0002,69525.33410000001,5164.0,854.4629829040773,25254.799599999867,115627.23202974243,"{'Northeast': {'Northeast': 0, 'West': 0.0, 'Coastal': 6.545412203179878, 'South': 0.0, 'Panhandle': 0}, 'West': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 20.886626816120124, 'Panhandle': 2.364686224609613e-16}, 'Coastal': {'Northeast': 5.24846489992186, 'West': 0, 'Coastal': 0, 'South': 1.2802865967387331e-13, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0.33416688494733715, 'Coastal': 1.240691744897049e-13, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 55.92306654747383, 'West': 2.255546860396862e-16, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",1.5443616809726264,119.95112252689704,45.193107933940944,142.64089849913572,85.95816930161544,395.2876599425641,14467.9997,22668.0325,2460.0,0.0,901.1002,1690.0,4495.9001,0.0,495.0814914521834,10273.697199999991,8744.0,18461.8,2704.0,0.0,2047.4006,11735.0005,23540.6015,0.0,263.70000000000005,1768.8000000000002,0.0,359.0,0.0,95.68149145189389,10263.801599999875
4,1233.149689355687,7649.123428734492,3875.0206279789563,333.5959258221571,108.60461919995393,0.0,974.0376769658384,13.662756463844826,0.0,27.872287329693037,5534.553317986671,109800.8843,136.84463672605025,36637.0002,67999.8841,5164.0,2125.5806299778314,28394.69959999981,115335.43761798667,"{'Northeast': {'Northeast': 0, 'West': 5.638867150992155e-17, 'Coastal': 8.42531506684009, 'South': 0.0, 'Panhandle': 0}, 'West': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 28.96490020138522, 'Panhandle': 0.37547069479762624}, 'Coastal': {'Northeast': 2.8641527563520803, 'West': 0, 'Coastal': 0, 'South': 1.4612597238702085, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0.1455321348409844, 'Coastal': 1.8640315339904379, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 65.26384128076808, 'West': 8.980173429137603, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",3.909784211061651,137.0054788558455,44.840087999999994,145.32237194722757,69.29688194329005,400.3746049574273,14467.9997,23068.0325,2460.0,0.0,901.1002,1690.0,3880.9001,0.0,1123.06149145166,10273.697199999993,8744.0,17151.35,2704.0,0.0,2047.4006,11735.0005,23540.6015,0.0,263.70000000000005,1768.8000000000002,0.0,359.0,0.0,738.8191385261719,13403.701599999818
5,592.2754536572656,7113.005856305003,3778.715389506272,395.80590213961716,0.0,0.0,490.7310504465276,12.842645488456375,0.0,3.726782135843586,6889.308637296431,109595.8843,88.70175772228178,36637.0002,67794.8841,5164.0,3598.531162160811,31534.599599999616,116485.19293729644,"{'Northeast': {'Northeast': 0, 'West': 0.0, 'Coastal': 17.212365994502267, 'South': 0.0, 'Panhandle': 0}, 'West': {'Northeast': 0, 'West': 0, 'Coastal': 0, 'South': 30.54722278355552, 'Panhandle': 0.23127948678129273}, 'Coastal': {'Northeast': 2.6201469283517866, 'West': 0, 'Coastal': 0, 'South': 2.8792697375225313, 'Panhandle': 0}, 'South': {'Northeast': 0, 'West': 0.016460942664939977, 'Coastal': 2.608279476917779, 'South': 0, 'Panhandle': 0}, 'Panhandle': {'Northeast': 83.06160198370787, 'West': 9.487401807360802, 'Coastal': 0, 'South': 0, 'Panhandle': 0}}",6.597940827698747,154.05983518479323,43.95039314323047,142.8826221649067,57.907179762905685,405.3979710835354,14467.9997,23068.0325,2460.0,27.664544001912013,901.1002,1690.0,3880.9001,0.0,1751.0414914514836,10273.69719999999,8744.0,16946.35,2704.0,0.0,2047.4006,11735.0005,23540.6015,0.0,483.6212229649233,1768.8000000000002,0.0,359.0,0.0,1336.2039037424925,16543.60159999963
1,Coastal,Northeast
1,South,West
1,South,West
1,Northeast,Panhandle
1,Northeast,Panhandle
1,Northeast,Panhandle
2,Northeast,Panhandle
3,Northeast,Panhandle
4,Coastal,South
4,South,West
4,West,Panhandle
5,Coastal,Northeast
5,Northeast,Panhandle
5,Northeast,Panhandle
 at last year ,5,24
 ,Northeast,West,Coastal,South,Panhandle
load ,27272.11955689056,6841.61844888192,19519.131236689922,17539.54086723168,0.0
power generation,19293.581750496047,7633.375780194511,20958.86640259315,13897.888386966217,9388.697789444152
power charged,0.0,0.0,0.0,0.0,0.0
power discharged,0.0,0.0,0.0,0.0,0.0
transmission power ,7978.53780639451,-791.7573313125913,-1439.7351659032279,3641.652480265462,-9388.697789444152
curtailment ,0.0,0.0,0.0,0.0,0.0

transmission at peak load 
Coastal,South,1293.4428289660582
Coastal,Northeast,73.14616846858485
Coastal,Northeast,73.14616846858485
South,West,-782.7365504331344
South,West,-782.7365504331344
South,West,-782.7365504331344
West,Panhandle,-1556.4523199868117
Northeast,Panhandle,-1118.8922099224774
Northeast,Panhandle,-1118.892209922477
Northeast,Panhandle,-1118.892209922477
Northeast,Panhandle,-1118.8922099224774
Northeast,Panhandle,-1118.892209922477
Northeast,Panhandle,-1118.8922099224774
Northeast,Panhandle,-1118.892209922477

total_investment_cost,63199.403851710704
