day,coal,nuclear,natural_gas,wind,solar,transmission,obj
4,9044.9092,5164.0,62045.24550000008,54755.10384598537,35963.60004451599,12.053826913356527,283.8807525773118
5,9044.9092,5164.0,68761.0184,50221.77051265201,32217.74744285515,12.094030825756155,286.02979141324795
6,9044.9092,5164.0,62821.41220000001,50907.27610574626,35721.05697957584,12.899072034463254,288.17163024156036
7,9044.9092,5164.0,62427.9455,50366.533456455036,37194.41554385943,12.858109140853283,288.7673696083657
8,9044.9092,5164.0,65046.85280000001,46166.838212639435,35215.6224914977,11.571354989819387,289.42137780269275
9,9044.9092,5164.0,65516.9542,46055.24851265206,35640.76846847057,12.51675882663826,291.43275852423983
10,9044.9092,5164.0,66122.83720000001,45127.03955461484,31920.16846847056,12.548820407172768,294.39298192240557
11,9044.9092,5164.0,66019.6122,46217.755260405305,32219.093335740006,11.940905524518689,294.5206447456794
12,9044.9092,5164.0,71784.21220000001,46269.85489687241,31920.168468470565,13.257436200333906,296.95600506109076
13,10670.0002,5164.0,64314.6422,44205.368024900876,31989.75722620469,14.289835100793404,297.6345700868236
14,9044.9092,5164.0,61276.27050000001,44349.13383665807,39726.25360659871,13.362976630646955,300.8479804942664
15,9044.9092,5164.0,61692.9205,41457.93912126136,39754.63561878122,12.860866745050663,301.0718319206539
